adj.P.Val,logFC,P.Value
0.9850786557,0.0586135204,0.7522569156
0.9432348625,-0.5649862591,0.5513786491
0.9808186873,0.1966927057,0.7172363769
0.9994796892,0.0117913838,0.9573568622
0.9875923885,-0.2278687753,0.7708980858
0.9994796892,0.0241405041,0.9468566274
0.7614566318,-0.2495659398,0.2237164042
0.9827569316,0.0412331215,0.7395180406
0.9941325127,-0.0549009545,0.8503680167
0.9856489845,-0.1689041735,0.7594595667
0.6753817706,0.2404527471,0.1554139696
0.6795056276,0.1842464177,0.158981092
0.9991929329,0.0825593663,0.9448771721
0.9848974072,0.1676191919,0.7520698775
0.6468187031,1.015390564,0.1353844289
0.9708162969,-0.1133840915,0.6632904387
0.9808121129,0.0573369709,0.7168319199
0.9181615342,0.1470006123,0.4707811188
0.9947273519,-0.1976852815,0.8709181778
0.9826403897,0.0671329891,0.7377775057
0.7376728459,-0.5685920889,0.2020642317
0.6561015301,-0.4105444481,0.1431155719
0.9977458165,0.0432697447,0.9352424636
0.9935944417,-0.188635842,0.8359306943
0.7446523128,-1.6919806218,0.2085243867
0.6753817706,-1.0371137584,0.1554591185
0.9109428794,-0.1606302389,0.4498165354
0.9485256906,-0.2268025895,0.573282865
0.9483878504,-0.1776110792,0.5711099782
0.9686655077,0.1496148941,0.6543034404
0.9432348625,0.4681933151,0.5509533291
0.4998707971,0.5295180861,0.0728961131
0.9713572998,0.3126097089,0.6664551248
0.768728985,0.172447463,0.2310973797
0.9973745623,0.0154571305,0.9226979965
0.9995327291,-0.0101519929,0.9800280393
0.9818714222,-0.1835724637,0.7322125762
0.5953853279,-0.3110706456,0.109983244
0.9994796892,0.0368478054,0.9673889577
0.7591038305,-0.2846708276,0.2218019388
0.5676139198,-0.3505581655,0.0990383971
0.9856489845,-0.1330683843,0.7583167377
0.9538490493,-0.1055423885,0.5904166133
0.9809903292,-0.1608888279,0.7176524986
0.9830961358,-0.1144158845,0.7411243218
0.9652750453,-0.2216921276,0.6308923034
0.1094112594,-0.4535749804,0.0043377724
0.9910042415,-0.1079189587,0.7987355739
0.9274728423,-0.1304300134,0.5002785031
0.9935944417,-0.1821028864,0.833852265
0.845164268,0.2654234946,0.3213671398
0.904,-0.2356941056,0.43
0.9994796892,-0.0239863251,0.9576079455
0.8759914059,-0.5006580599,0.3780075485
0.9947273519,0.0804309286,0.8966513111
0.9941325127,-0.1777841883,0.8550104226
0.9950519876,-0.0236360899,0.9013228754
0.9947273519,-0.0638383763,0.8982829792
0.8825303631,0.4621964027,0.3930169987
0.9947273519,0.0440112283,0.8850828975
0.9485256906,0.2382905236,0.5727218687
0.9282043409,-0.1225648896,0.5025790806
0.9826403897,-0.4361242663,0.7385968798
0.8966765934,0.3282547689,0.4185014959
0.1935676867,-0.6316218306,0.0113346142
0.6749953997,-0.2815906371,0.1552016183
0.49787736,-0.9158920335,0.0722239239
0.6501777015,-0.2130356178,0.1387413857
